effect,group,term,estimate,std.error,p.value,metric,model,n_ts,formula,REML,bobyqa
fixed,NA,(Intercept),-0.39958180922832826,0.3442980072340574,0.3937929353138526,SES_FRic,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,year_scaled,-0.40510210573483185,0.2453155578038222,0.2962636091371091,SES_FRic,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__(Intercept),0.3575010292969654,NA,NA,SES_FRic,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,0.9999999999999999,NA,NA,SES_FRic,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__year_scaled,0.19125172578852834,NA,NA,SES_FRic,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__(Intercept),0.4537451787353754,NA,NA,SES_FRic,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,cor__(Intercept).year_scaled,0.9999999949445065,NA,NA,SES_FRic,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__year_scaled,0.2608585417626203,NA,NA,SES_FRic,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,Residual,sd__Observation,0.8204945865260554,NA,NA,SES_FRic,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,(Intercept),0.20087137437460845,0.46848746349359416,0.7245470184698473,SES_FDiv,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,year_scaled,0.18365346898516952,0.2734495103492967,0.6419023471803069,SES_FDiv,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__(Intercept),0.5030687471791899,NA,NA,SES_FDiv,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,1,NA,NA,SES_FDiv,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__year_scaled,0.16842020332359528,NA,NA,SES_FDiv,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__(Intercept),0.6456821806202124,NA,NA,SES_FDiv,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,cor__(Intercept).year_scaled,1,NA,NA,SES_FDiv,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__year_scaled,0.33614864517681353,NA,NA,SES_FDiv,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,Residual,sd__Observation,0.7705909006625035,NA,NA,SES_FDiv,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,(Intercept),-0.07444854897961584,0.3756153136763741,0.8703617132964905,SES_FEve,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,year_scaled,-0.2891701179763739,0.3885736888902876,0.5623491748385385,SES_FEve,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__(Intercept),0.0017293846268690858,NA,NA,SES_FEve,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,-1,NA,NA,SES_FEve,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__year_scaled,0.0017851132198055829,NA,NA,SES_FEve,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__(Intercept),0.4442472628741313,NA,NA,SES_FEve,,11,value ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
