effect,group,term,estimate,std.error,statistic,df,metric,model_id,formula,study_id,p.value,dataID,p.adjust
fixed,NA,(Intercept),-0.25567935213225923,0.07012724653420961,-3.645934565640378,33.203272260499446,SES_FRic,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
fixed,NA,year_scaled,0.03682181974412426,0.037854278524899226,0.9727254402670533,12.518866153133565,SES_FRic,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,0.3491105876510402,NA,0.7166991232222909
ran_pars,rarefyID:study_id,sd__(Intercept),0.5449592552406447,NA,NA,NA,SES_FRic,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,0.06312495554405617,NA,NA,NA,SES_FRic,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,rarefyID:study_id,sd__year_scaled,0.18107395383693806,NA,NA,NA,SES_FRic,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,study_id,sd__(Intercept),0.2877071903798663,NA,NA,NA,SES_FRic,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,study_id,cor__(Intercept).year_scaled,-0.2708432539578243,NA,NA,NA,SES_FRic,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,study_id,sd__year_scaled,0.11154287870006625,NA,NA,NA,SES_FRic,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.8119983415956707,NA,NA,NA,SES_FRic,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
fixed,NA,(Intercept),-0.22283494475691237,0.07323864109112738,-3.04258710206883,30.09307794018677,SES_FRic,protected_area,value ~ year_scaled * protected_area + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
fixed,NA,year_scaled,0.034740127938732185,0.040569017237853784,0.8563216539127098,10.057319145743756,SES_FRic,protected_area,value ~ year_scaled * protected_area + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
fixed,NA,protected_areaTRUE,-0.39409998051262907,0.24749381167880805,-1.592362967943955,256.5639352106566,SES_FRic,protected_area,value ~ year_scaled * protected_area + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
fixed,NA,year_scaled:protected_areaTRUE,-0.07038043609077148,0.14435163840629203,-0.4875624334285611,93.00572519451892,SES_FRic,protected_area,value ~ year_scaled * protected_area + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,rarefyID:study_id,sd__(Intercept),0.5448179750151158,NA,NA,NA,SES_FRic,protected_area,value ~ year_scaled * protected_area + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,0.062386608532708505,NA,NA,NA,SES_FRic,protected_area,value ~ year_scaled * protected_area + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,rarefyID:study_id,sd__year_scaled,0.18143239493777416,NA,NA,NA,SES_FRic,protected_area,value ~ year_scaled * protected_area + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,study_id,sd__(Intercept),0.28041959516810966,NA,NA,NA,SES_FRic,protected_area,value ~ year_scaled * protected_area + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,study_id,cor__(Intercept).year_scaled,-0.28996045476616017,NA,NA,NA,SES_FRic,protected_area,value ~ year_scaled * protected_area + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,study_id,sd__year_scaled,0.11603351549946962,NA,NA,NA,SES_FRic,protected_area,value ~ year_scaled * protected_area + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.811976749296118,NA,NA,NA,SES_FRic,protected_area,value ~ year_scaled * protected_area + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
group_slope,protected_area,FALSE,0.034740127938732185,0.040569017237853784,NA,10.057319145743756,SES_FRic,protected_area,value ~ year_scaled * protected_area + (year_scaled|study_id/rarefyID),NA,0.41175788279235304,NA,0.7774985865997632
group_slope,protected_area,TRUE,-0.03564030815203929,0.13853357120545043,NA,134.24512247101273,SES_FRic,protected_area,value ~ year_scaled * protected_area + (year_scaled|study_id/rarefyID),NA,0.7973655092939234,NA,0.9999999999992204
contrast,protected_area,FALSE - TRUE,0.07038043609077148,0.14435163840629203,0.4875624334285611,93.00572519451892,SES_FRic,protected_area,value ~ year_scaled * protected_area + (year_scaled|study_id/rarefyID),NA,0.627007120959834,NA,0.929298180514049
fixed,NA,(Intercept),-0.24888467967554417,0.11218339191446267,-2.218551921351364,30.8060200090143,SES_FDiv,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
fixed,NA,year_scaled,-0.001985338277940439,0.03877549509252099,-0.051200849227154566,15.251562718067444,SES_FDiv,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,0.9598300489537617,NA,0.9999999999992204
ran_pars,rarefyID:study_id,sd__(Intercept),0.5950390210284501,NA,NA,NA,SES_FDiv,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,-0.0053269193088373995,NA,NA,NA,SES_FDiv,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,rarefyID:study_id,sd__year_scaled,0.2336289180039755,NA,NA,NA,SES_FDiv,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,study_id,sd__(Intercept),0.6020349531274969,NA,NA,NA,SES_FDiv,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,study_id,cor__(Intercept).year_scaled,-0.15554667524780896,NA,NA,NA,SES_FDiv,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,study_id,sd__year_scaled,0.10821997441098809,NA,NA,NA,SES_FDiv,base,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
