sens_level,effect,group,term,estimate,std.error,statistic,df,metric,model_id,n_ts,formula,p.value,p.adjust
min3,fixed,NA,(Intercept),-0.26605382211300227,0.07307803297717554,-3.6406812180631474,35.22378270208606,SES_FRic,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,fixed,NA,year_scaled,0.011498356648939678,0.0338402376165222,0.3397835671025462,11.460978507554234,SES_FRic,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),0.7401650771896351,0.9892913318052792
min3,ran_pars,rarefyID:study_id,sd__(Intercept),0.573908944980382,NA,NA,NA,SES_FRic,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,0.06630542393947927,NA,NA,NA,SES_FRic,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,ran_pars,rarefyID:study_id,sd__year_scaled,0.19124929505608246,NA,NA,NA,SES_FRic,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,ran_pars,study_id,sd__(Intercept),0.2933923942575405,NA,NA,NA,SES_FRic,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,ran_pars,study_id,cor__(Intercept).year_scaled,-0.4182635755825132,NA,NA,NA,SES_FRic,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,ran_pars,study_id,sd__year_scaled,0.08722780707489823,NA,NA,NA,SES_FRic,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,ran_pars,Residual,sd__Observation,0.7978723560171291,NA,NA,NA,SES_FRic,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,fixed,NA,(Intercept),0.11035824294893444,0.17066230899589058,0.6466468407596184,38.213610126823255,SES_FEve,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,fixed,NA,year_scaled,-0.01882869023623201,0.030286962833686662,-0.6216764070938736,3.570472987905361,SES_FEve,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),0.5716254681191436,0.9077753702668191
min3,ran_pars,rarefyID:study_id,sd__(Intercept),0.4054054704866229,NA,NA,NA,SES_FEve,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,-0.22230910644158186,NA,NA,NA,SES_FEve,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,ran_pars,rarefyID:study_id,sd__year_scaled,0.17139170748935487,NA,NA,NA,SES_FEve,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,ran_pars,study_id,sd__(Intercept),1.0979257892342125,NA,NA,NA,SES_FEve,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,ran_pars,study_id,cor__(Intercept).year_scaled,-0.5625426171948269,NA,NA,NA,SES_FEve,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,ran_pars,study_id,sd__year_scaled,0.06555629041031652,NA,NA,NA,SES_FEve,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,ran_pars,Residual,sd__Observation,0.8956972215577353,NA,NA,NA,SES_FEve,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,fixed,NA,(Intercept),41.81223219049684,2.664639958123561,15.691512867629969,46.88887062039791,CWM_diet_inv,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,fixed,NA,year_scaled,-0.37636988653023123,0.7162387038912598,-0.52548107842462,28.516208426553675,CWM_diet_inv,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),0.6033113176945677,0.9214209215698852
min3,ran_pars,rarefyID:study_id,sd__(Intercept),9.53878417734209,NA,NA,NA,CWM_diet_inv,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,0.09073140447533869,NA,NA,NA,CWM_diet_inv,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,ran_pars,rarefyID:study_id,sd__year_scaled,3.376491738329477,NA,NA,NA,CWM_diet_inv,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
min3,ran_pars,study_id,sd__(Intercept),16.39591046840163,NA,NA,NA,CWM_diet_inv,base,1799,value ~ year_scaled + (year_scaled|study_id/rarefyID),NA,NA
